                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.56735,                0.29107,                0.91312,                0.99644,                0.98064,                  0.995,                0.76036,                0.75462,                0.26752,                0.97774,             0.00050472,             0.00050472,             0.00050472
                    101,                0.55818,                0.28903,                0.90336,                0.99706,                0.98692,                  0.995,                0.74675,                0.74767,                0.27515,                0.98119,             0.00049529,             0.00049529,             0.00049529
                    102,                0.54696,                0.28245,                0.89981,                0.98694,                 0.9986,                  0.995,                0.76258,                0.73839,                0.26131,                0.98191,             0.00048586,             0.00048586,             0.00048586
                    103,                0.55591,                0.28598,                0.90707,                 0.9951,                      1,                  0.995,                0.77415,                0.74084,                0.25948,                0.97461,             0.00047643,             0.00047643,             0.00047643
                    104,                0.54814,                0.28303,                0.89817,                0.99356,                      1,                  0.995,                0.76678,                0.74662,                0.26141,                0.98119,               0.000467,               0.000467,               0.000467
                    105,                0.55361,                0.28326,                0.90603,                0.99399,                      1,                  0.995,                0.75935,                0.76015,                0.26671,                0.99039,             0.00045757,             0.00045757,             0.00045757
                    106,                0.54457,                 0.2779,                0.90374,                0.99633,                      1,                  0.995,                0.76136,                0.74712,                0.26433,                0.99015,             0.00044813,             0.00044813,             0.00044813
                    107,                0.54226,                0.28131,                0.90219,                0.99619,                      1,                  0.995,                0.76031,                0.75397,                0.26556,                  0.992,              0.0004387,              0.0004387,              0.0004387
                    108,                0.53807,                0.27738,                0.90097,                0.99589,                      1,                  0.995,                0.76774,                0.76228,                0.26102,                0.99005,             0.00042927,             0.00042927,             0.00042927
                    109,                0.53262,                0.27233,                0.89778,                0.99528,                      1,                  0.995,                0.75486,                0.76902,                0.26446,                 1.0027,             0.00041984,             0.00041984,             0.00041984
                    110,                0.53079,                0.27278,                  0.898,                0.99114,                      1,                  0.995,                0.76887,                0.75402,                0.26102,                0.99562,             0.00041041,             0.00041041,             0.00041041
                    111,                 0.5332,                0.27162,                0.90136,                0.99496,                      1,                  0.995,                0.75594,                0.76085,                0.26145,                 1.0091,             0.00040098,             0.00040098,             0.00040098
                    112,                0.53456,                0.27044,                0.89909,                0.99625,                      1,                  0.995,                0.76097,                0.76721,                 0.2665,                 1.0029,             0.00039155,             0.00039155,             0.00039155
                    113,                0.53159,                0.27373,                0.90141,                0.99164,                0.99928,                  0.995,                0.76919,                0.75334,                0.26391,                0.99205,             0.00038211,             0.00038211,             0.00038211
                    114,                 0.5243,                 0.2704,                0.89931,                0.99455,                      1,                  0.995,                0.77382,                0.75811,                0.26374,                 1.0002,             0.00037268,             0.00037268,             0.00037268
                    115,                0.53585,                0.27527,                0.90018,                0.99476,                      1,                  0.995,                0.76804,                0.75176,                0.26375,                0.99239,             0.00036325,             0.00036325,             0.00036325
                    116,                0.51607,                0.26661,                0.88982,                0.99615,                      1,                  0.995,                0.76261,                0.75297,                0.26288,                 1.0001,             0.00035382,             0.00035382,             0.00035382
                    117,                 0.5159,                0.26242,                0.89388,                 0.9952,                      1,                  0.995,                0.76329,                0.74683,                0.26114,                0.99546,             0.00034439,             0.00034439,             0.00034439
                    118,                0.51219,                0.26428,                0.89099,                0.99528,                      1,                  0.995,                0.75746,                0.75741,                0.26363,                 1.0052,             0.00033496,             0.00033496,             0.00033496
                    119,                0.52325,                0.26561,                0.89017,                0.99491,                      1,                  0.995,                0.76831,                0.75209,                0.26154,                 1.0153,             0.00032553,             0.00032553,             0.00032553
                    120,                0.51296,                0.26093,                0.89635,                0.99522,                      1,                  0.995,                0.77038,                0.76082,                0.25949,                 1.0056,             0.00031609,             0.00031609,             0.00031609
                    121,                0.50821,                0.26049,                0.88946,                0.99579,                      1,                  0.995,                 0.7529,                0.75177,                0.25883,                 1.0104,             0.00030666,             0.00030666,             0.00030666
                    122,                0.50658,                0.26328,                0.89104,                0.99657,                      1,                  0.995,                0.75986,                0.75847,                0.25905,                 1.0011,             0.00029723,             0.00029723,             0.00029723
                    123,                0.50498,                  0.256,                0.88663,                0.99501,                      1,                  0.995,                0.77197,                0.75845,                0.26013,                0.99529,              0.0002878,              0.0002878,              0.0002878
                    124,                0.50196,                0.25876,                0.88439,                0.99675,                      1,                  0.995,                0.75705,                0.75978,                0.25674,                 1.0038,             0.00027837,             0.00027837,             0.00027837
                    125,                0.50884,                0.26105,                0.88969,                0.99429,                      1,                  0.995,                0.77377,                0.75749,                0.25713,                 1.0013,             0.00026894,             0.00026894,             0.00026894
